id;age;gender;country
1340;NA;NA;AR
1341;53;f;BR
1342;34;f;MX
1343;24;f;CO
1344;NA;NA;HN
1345;25;f;PE
1346;NA;f;SV
1347;21;m;MX
1348;58;f;CO
1349;64;f;CO
1350;28;f;0
1351;37;f;VE
1352;30;f;BR
1353;35;f;ES
1354;22;f;GT
1355;49;m;ES
1356;34;f;CO
1357;61;f;PA
1358;25;m;PE
1359;30;f;PT
1360;33;m;MX
1361;35;m;ES
1362;40;f;ES
1363;24;m;MX
1364;30;f;ES
1365;33;m;EC
1366;27;m;AR
1367;27;m;AR
1368;25;m;BR
1369;21;f;MX
1370;43;m;BR
1371;25;f;SV
1372;21;f;PE
1373;45;f;PH
1374;22;f;BR
1375;38;f;CL
1376;30;f;BR
1377;30;f;BR
1378;22;f;BR
1379;19;f;PE
1380;20;m;MX
1381;NA;f;BR
1382;23;f;DO
1383;35;f;MX
1384;52;m;VE
1385;41;f;AR
1386;NA;NA;ES
1387;22;f;PE
1388;38;f;ES
1389;NA;NA;UY
1390;23;m;PT
1391;20;m;BR
1392;26;m;BR
1393;42;f;PE
1394;50;m;ES
1395;30;m;MX
1396;28;m;MX
1397;41;m;BR
1398;27;f;MX
1399;40;m;BR
1400;NA;NA;AR
1401;36;m;BR
1402;32;m;BR
1403;25;m;PE
1404;39;f;MX
1405;36;m;GT
1406;NA;f;GB
1407;NA;NA;BR
1408;29;m;CO
1409;27;m;BR
1410;26;f;BR
1411;NA;f;PE
1412;NA;NA;MX
1413;31;m;PE
1414;56;m;BR
1415;57;m;BR
1416;35;f;ES
1417;23;f;GT
1418;55;f;NZ
1419;22;m;MX
1420;24;m;MX
1421;28;m;ES
1422;24;m;MX
1423;30;m;CL
1424;NA;NA;KE
1425;NA;NA;FR
1426;30;f;GT
1427;55;f;PT
1428;48;m;BR
1429;37;m;BR
1430;33;f;BR
1431;48;m;BR
1432;31;m;CO
1433;21;m;DO
1434;26;m;BR
1435;32;f;PT
1436;28;m;MX
1437;43;m;HN
1438;23;f;CL
1439;42;f;BR
1440;NA;f;PE
1441;23;m;CR
1442;43;f;DO
1443;60;m;BR
1444;65;f;CR
1445;44;m;MX
1446;42;f;EC
1447;59;m;MZ
1448;70;f;PT
1449;39;f;CL
1450;26;m;MX
1451;22;f;BR
1452;25;m;PE
1453;49;m;ES
1454;NA;m;MX
1455;26;m;SV
1456;36;m;PE
1457;27;f;MX
1458;24;m;PE
1459;39;f;AR
1460;27;m;UY
1461;NA;NA;AR
1462;22;m;MX
1463;28;m;AR
1464;34;f;CR
1465;25;f;CR
