Timestamp, Decibels, Group
"1429693470965","-12.80750578140343","Control"
"1429693472005","-8.601256622771384","Control"
"1429693473052","-8.007189655909011","Control"
"1429693474101","-5.375987152719365","Control"
"1429693475144","-10.457574905606752","Control"
"1429693476054","-10.752040042020878","Control"
"1429693477104","-7.0944664097729095","Control"
"1429693478144","-11.712914923846572","Control"
"1429693479187","-12.131746033668833","Control"
"1429693480236","-1.6106898115203911","Control"
"1429693481283","-2.9838997170869153","Control"
"1429693482330","-6.592333804252421","Control"
"1429693483374","-3.171883552144557","Control"
"1429693484424","-8.891840597854848","Control"
"1429693485473","-8.662088514705772","Control"
"1429693486525","-1.8104642869331156","Control"
"1429693487574","-4.593871690248116","Control"
"1429693488629","1.3637172349232323","Control"
"1429693489677","0.11504657778182684","Control"
"1429693490721","-0.162357804443589","Control"
"1429693491754","0.371544492287007","Control"
"1429693492803","-8.856096145607435","Control"
"1429693493852","-4.131436153326116","Control"
"1429693494899","-6.50345733791144","Control"
"1429693495939","-3.3261995130994526","Control"
"1429693497014","-3.4545296286982174","Control"
"1429693498065","-0.277841419113885","Control"
"1429693499120","1.8710276676175905","Control"
"1429693500164","-0.1394441949741957","Control"
"1429693501205","-5.7420198079399345","Control"
"1429693502275","-3.526652016268719","Control"
"1429693503325","-4.93344666682777","Control"
"1429693504373","-3.1348829013549846","Control"
"1429693505424","1.494703915389063","Control"
"1429693506469","-0.7347399977355642","Control"
"1429693507521","-4.10559296366327","Control"
"1429693508565","-1.79462856761866","Control"
"1429693509613","-8.480856224724855","Control"
"1429693510664","-3.2510372083841377","Control"
"1429693511711","-6.661324553285794","Control"
"1429693512761","-2.893655896081142","Control"
"1429693513805","0.4207216350490862","Control"
"1429693514850","-1.1948367396593202","Control"
"1429693515898","-3.5799249939817686","Control"
"1429693516973","0.7100771239024434","Control"
"1429693518020","-8.954749540689056","Control"
"1429693519063","-9.045417270413218","Control"
"1429693520098","-8.540847807526895","Control"
"1429693521149","-0.668475109738994","Control"
"1429693522194","1.7587817015288274","Control"
"1429693523238","1.294704559471681","Control"
"1429693524281","-0.7979870463976817","Control"
"1429693525334","-5.692315010566949","Control"
"1429693526380","-1.8820844881742311","Control"
"1429693527421","-7.5044300419987","Control"
"1429693528463","-8.70580219347424","Control"
"1429693529506","-4.888148573871502","Control"
"1429693530552","-6.388589756526114","Control"
"1429693531599","-3.23701639882142","Control"
"1429693532641","-8.203489301780984","Control"
"1429693533684","-4.069541190906276","Control"
"1429693534725","-0.8901646994852599","Control"
"1429693535773","3.95887751829523","Control"
"1429693536667","-3.0750909970979237","Control"
"1429693537746","-0.893729603962991","Control"
"1429693538798","-1.012199867101744","Control"
"1429693539841","-2.112858122791507","Control"
"1429693540882","5.3608063531270025","Control"
"1429693541924","-1.0085860165657081","Control"
"1429693542965","1.3306595750846588","Control"
"1429693544012","10.896972259167796","Control"
"1429693545059","1.289159784538369","Control"
"1429693546104","0.4604740597593565","Control"
"1429693547145","-7.428437521940651","Control"
"1429693548193","-6.661324553285794","Control"
"1429693549244","-2.490200309319572","Control"
"1429693550283","-10.079868022399275","Control"
"1429693551326","-8.211765519308589","Control"
"1429693552379","-8.758550673227512","Control"
"1429693553423","2.9225607135647595","Control"
"1429693554466","4.555830335632848","Control"
"1429693555519","1.7719083318616213","Control"
"1429693556561","-6.571742985510919","Control"
"1429693557611","-3.1164415151535545","Control"
"1429693558687","0.5454816973332401","Control"
"1429693559735","-10.203954270424973","Control"
"1429693560784","-2.7732952223011518","Control"
