IDREGISTRO,MINS_WAIT,ACTIVIDAD
4288,0,Refrigerado
4289,0,Refrigerado
4290,0,Refrigerado
4291,0,Refrigerado
4292,0,Refrigerado
4293,0,Refrigerado
4294,0,Refrigerado
4295,0,Refrigerado
4296,0,Congelado
4297,0,Refrigerado
4298,0,Congelado
4299,0,Refrigerado
4300,0,Refrigerado
4301,0,Refrigerado
4302,153,Fruta
4303,0,Congelado
4304,0,Refrigerado
4305,0,Congelado
4306,11,Congelado
4307,212,Refrigerado
4308,3,Refrigerado
4309,0,Refrigerado
4310,0,Refrigerado
4311,0,Refrigerado
4312,0,Refrigerado
4313,0,Congelado
4314,0,Refrigerado
4315,0,Refrigerado
4316,1,Refrigerado
4317,0,Congelado
4318,0,Refrigerado
4319,0,Refrigerado
4320,0,Congelado
4321,0,Refrigerado
4322,0,Congelado
4323,0,Refrigerado
4324,0,Refrigerado
4325,0,Refrigerado
4326,0,Refrigerado
4327,0,Refrigerado
4328,0,Refrigerado
4329,1,Refrigerado
4330,38,Fruta
4331,1,Refrigerado
4332,2,Refrigerado
4333,0,Refrigerado
4334,76,Fruta
4335,149,Fruta
4336,0,Refrigerado
4337,187,Refrigerado
4338,0,Refrigerado
4339,0,Refrigerado
4340,0,Refrigerado
4341,0,Refrigerado
4342,2,Refrigerado
4343,0,Refrigerado
4344,0,Refrigerado
4097,21,Refrigerado
4098,0,Refrigerado
4099,0,Refrigerado
4100,20,Fruta
4101,1,Refrigerado
4102,0,Congelado
4103,0,Refrigerado
4104,0,Refrigerado
4105,0,Congelado
4106,5,Refrigerado
4107,0,Refrigerado
4108,0,Refrigerado
4109,0,Refrigerado
4110,67,Refrigerado
4111,0,Refrigerado
4112,0,Refrigerado
4113,1,Refrigerado
4114,0,Refrigerado
4115,0,Refrigerado
4116,4,Refrigerado
4116,4,Refrigerado
4117,0,Congelado
4118,39,Congelado
4119,0,Congelado
4120,24,Refrigerado
4121,0,Refrigerado
4122,0,Refrigerado
4123,9,Fruta
4124,73,Congelado
4125,0,Congelado
4126,6,Refrigerado
4127,154,Congelado
4128,73,Refrigerado
4129,78,Congelado
4130,41,Congelado
4131,3,Refrigerado
4132,3,Refrigerado
4133,88,Refrigerado
4134,48,Refrigerado
4135,71,Congelado
4136,5,Fruta
4137,4,Fruta
4138,13,Refrigerado
4139,10,Refrigerado
4140,4,Refrigerado
4141,2,Refrigerado
