timestamp, decibels, decibels_avg, tag
"1429685763605","-15.817646543771309","-16.555352411629677","2015_4_22_8"
"1429685764488","-13.632548971798526","-15.838578908881027","2015_4_22_8"
"1429685765534","-4.637656985932627","-13.944301778611797","2015_4_22_8"
"1429685766581","-15.738503493822975","-13.451099755556587","2015_4_22_8"
"1429685767623","-18.074677265752975","-13.580206652215685","2015_4_22_8"
"1429685768664","-15.621124820541016","-13.540902307569628","2015_4_22_8"
"1429685769714","-6.592333804252421","-12.132859274060404","2015_4_22_8"
"1429685770788","-11.337053662011908","-13.47273860927626","2015_4_22_8"
"1429685771834","-10.77425460563374","-12.479888831638414","2015_4_22_8"
"1429685772876","-11.337053662011908","-11.1323641108902","2015_4_22_8"
"1429685773930","-17.795690404248127","-11.567277227631621","2015_4_22_8"
"1429685774983","-9.100275703114278","-12.068865607403993","2015_4_22_8"
"1429685776025","-14.307208410483764","-12.662896557098364","2015_4_22_8"
"1429685777068","-14.805645440720376","-13.469174724115692","2015_4_22_8"
"1429685778117","-13.947289552412007","-13.991221902195713","2015_4_22_8"
"1429685779164","-15.998399902916304","-13.631763801929344","2015_4_22_8"
"1429685780219","-15.4670473500375","-14.905118131313992","2015_4_22_8"
"1429685781291","-11.86289084502723","-14.416254618222684","2015_4_22_8"
"1429685782339","-13.479354707319262","-14.150996471542461","2015_4_22_8"
"1429685783386","-13.136935968608753","-13.988925754781812","2015_4_22_8"
"1429685784435","-17.946753162057046","-14.378596406609958","2015_4_22_8"
"1429685785484","-17.549614750302258","-14.79510988666291","2015_4_22_8"
"1429685786528","-18.309798408946165","-16.084491399446698","2015_4_22_8"
"1429685787587","-13.210235050336863","-16.03066746805022","2015_4_22_8"
"1429685788634","-16.986008024945573","-16.80048187931758","2015_4_22_8"
"1429685789684","-19.74637936481822","-17.160407119869816","2015_4_22_8"
"1429685790756","-10.131355367221504","-15.676755243253663","2015_4_22_8"
"1429685791806","-17.429142782457493","-15.500624117955931","2015_4_22_8"
"1429685792859","-13.224969387437714","-15.5035709853761","2015_4_22_8"
"1429685793895","-15.524506586952105","-15.211270697777405","2015_4_22_8"
"1429685794944","-10.235254807497526","-13.309045786313268","2015_4_22_8"
"1429685795987","-14.207560400104967","-14.124286792889961","2015_4_22_8"
"1429685797039","-11.97709702905502","-13.033877642209466","2015_4_22_8"
"1429685798080","-13.449037435220276","-13.07869125176598","2015_4_22_8"
"1429685799125","-13.71017137970517","-12.715824210316592","2015_4_22_8"
"1429685800167","-13.224969387437714","-13.31376712630463","2015_4_22_8"
"1429685801220","-14.0927311026483","-13.290801266813295","2015_4_22_8"
"1429685802264","-17.28674795999854","-14.352731453001999","2015_4_22_8"
"1429685803314","-16.12102626394627","-14.887129218747196","2015_4_22_8"
"1429685804364","-13.195525665554639","-14.78420007591709","2015_4_22_8"
"1429685805406","-12.585490125545093","-14.65630422353857","2015_4_22_8"
"1429685806458","-9.05453631549026","-13.648665266106963","2015_4_22_8"
"1429685807506","-11.408542869177872","-12.473024247942828","2015_4_22_8"
"1429685808558","-16.478174818886377","-12.544453958930848","2015_4_22_8"
"1429685809605","-13.284157961536136","-12.562180418127147","2015_4_22_8"
"1429685810651","-15.4670473500375","-13.13849186302563","2015_4_22_8"
"1429685811731","-14.40801290327423","-14.209187180582424","2015_4_22_8"
"1429685812783","-14.544264946383764","-14.836331596023602","2015_4_22_8"
"1429685813826","-17.10044827906389","-14.960786288059102","2015_4_22_8"
"1429685814875","-18.048941277626653","-15.913742951277209","2015_4_22_8"
"1429685815934","-14.87669605888706","-15.795672693047118","2015_4_22_8"
"1429685816984","-14.011629769851963","-15.716396066362666","2015_4_22_8"
"1429685818030","-13.601693203512898","-15.527881717788494","2015_4_22_8"
"1429685819081","-15.917600346881503","-15.291312131352015","2015_4_22_8"
"1429685820125","-16.78374013526241","-15.038271902879165","2015_4_22_8"
"1429685821173","-18.91284675354815","-15.845502041811383","2015_4_22_8"
"1429685822219","-13.494553118262784","-15.742086711493547","2015_4_22_8"
"1429685823254","-10.55462496149499","-15.132673063089968","2015_4_22_8"
