sensor;fecha;temperatura;tipo_temperatura;day;month;year;hour;minutes;time;total_minutos
5077JTJ_2;05/02/2018 21:47;19;FRIO POSITIVO;5;2;2018;21;47;21:47;1307
5077JTJ_1;05/02/2018 21:50;17;FRIO POSITIVO;5;2;2018;21;50;21:50;1310
5077JTJ_4;05/02/2018 21:53;17;CONGELADO;5;2;2018;21;53;21:53;1313
5077JTJ_3;05/02/2018 22:01;19;CONGELADO;5;2;2018;22;1;22:01;1321
5077JTJ_2;05/02/2018 22:02;19;FRIO POSITIVO;5;2;2018;22;2;22:02;1322
5077JTJ_1;05/02/2018 22:05;17;FRIO POSITIVO;5;2;2018;22;5;22:05;1325
5077JTJ_3;05/02/2018 22:16;19;CONGELADO;5;2;2018;22;16;22:16;1336
5077JTJ_2;05/02/2018 22:16;19;FRIO POSITIVO;5;2;2018;22;16;22:16;1336
5077JTJ_1;05/02/2018 22:20;17;FRIO POSITIVO;5;2;2018;22;20;22:20;1340
5077JTJ_3;05/02/2018 22:31;19;CONGELADO;5;2;2018;22;31;22:31;1351
5077JTJ_2;05/02/2018 22:31;19;FRIO POSITIVO;5;2;2018;22;31;22:31;1351
5077JTJ_3;05/02/2018 22:46;19;CONGELADO;5;2;2018;22;46;22:46;1366
5077JTJ_2;05/02/2018 22:46;19;FRIO POSITIVO;5;2;2018;22;46;22:46;1366
5077JTJ_4;05/02/2018 22:47;19;CONGELADO;5;2;2018;22;47;22:47;1367
5077JTJ_2;05/02/2018 23:01;19;FRIO POSITIVO;5;2;2018;23;1;23:01;1381
5077JTJ_3;05/02/2018 23:01;19;CONGELADO;5;2;2018;23;1;23:01;1381
5077JTJ_4;05/02/2018 23:02;19;CONGELADO;5;2;2018;23;2;23:02;1382
5077JTJ_2;05/02/2018 23:15;19;FRIO POSITIVO;5;2;2018;23;15;23:15;1395
5077JTJ_3;05/02/2018 23:16;19;CONGELADO;5;2;2018;23;16;23:16;1396
5077JTJ_4;05/02/2018 23:17;19;CONGELADO;5;2;2018;23;17;23:17;1397
5077JTJ_2;05/02/2018 23:30;19;FRIO POSITIVO;5;2;2018;23;30;23:30;1410
5077JTJ_3;05/02/2018 23:31;19;CONGELADO;5;2;2018;23;31;23:31;1411
5077JTJ_4;05/02/2018 23:32;19;CONGELADO;5;2;2018;23;32;23:32;1412
5077JTJ_4;05/02/2018 23:44;21;CONGELADO;5;2;2018;23;44;23:44;1424
5077JTJ_1;05/02/2018 23:45;20;FRIO POSITIVO;5;2;2018;23;45;23:45;1425
5077JTJ_2;05/02/2018 23:45;19;FRIO POSITIVO;5;2;2018;23;45;23:45;1425
5077JTJ_3;05/02/2018 23:46;19;CONGELADO;5;2;2018;23;46;23:46;1426
5077JTJ_4;05/02/2018 23:59;21;CONGELADO;5;2;2018;23;59;23:59;1439
